policy_id,practice,modality,evidence,explanation,grounded_in_evidence,understandable,not_misleading,reviewer_notes
8,Identifier_MAC_1stParty,PERFORMED,"[2] When you launch any of our applications, we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address, International Equipment Mobile ID (IMEI), whether you are using a point package, the game version, the device’s geo-location, language settings, and unique device ID.",The app collects MAC addresses as part of the information it gathers from users.,,,,
8,Identifier_IMEI_1stParty,PERFORMED,"[2] When you launch any of our applications, we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address, International Equipment Mobile ID (IMEI), whether you are using a point package, the game version, the device’s geo-location, language settings, and unique device ID.",The app collects IMEI numbers as part of the information it gathers from users.,,,,
8,Location_GPS_1stParty,PERFORMED,"[2] When you launch any of our applications, we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address, International Equipment Mobile ID (IMEI), whether you are using a point package, the game version, the device’s geo-location, language settings, and unique device ID.",The app collects GPS location data as part of the information it gathers from users.,,,,
8,Identifier_Device_ID_1stParty,PERFORMED,"[2] When you launch any of our applications, we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address, International Equipment Mobile ID (IMEI), whether you are using a point package, the game version, the device’s geo-location, language settings, and unique device ID.",The app collects unique device IDs as part of the information it gathers from users.,,,,
8,Contact_City_1stParty,PERFORMED,"[3] Candy Mobile may collect personal and non-personal information from you when you use the Service. Personal information is information that specifically identifies an individual, including, but not limited to, an individual’s name, phone number, credit card or other billing information, email address and home address.",The app collects city as part of personal information.,,,,
8,Contact_E_Mail_Address_1stParty,PERFORMED,"[4] If you have any questions about this Privacy Policy, please contact us at
contact@candy-mobile.com.",The app provides an email address for user inquiries.,,,,
150,Location_GPS_1stParty,PERFORMED,"[1] we also collect the precise location of your device (using GPS signals, device sensors, Wi-Fi access points and cell tower ids that can be used to derive or estimate precise location, or other geo-location data), when location services have been enabled by the user.",The app collects precise location using GPS.,,,,
150,Identifier_Device_ID_1stParty,PERFORMED,"[3] we automatically record and collect certain information from or about your device, such as your device’s type and model, mobile device ID, language preferences, time zone, the device’s operating system, mobile carrier and internet service provider information, network connection type, mobile browsers installed on the device, hardware information, running and installed apps on your device, your device’s approximate location, your device’s IP address, GCM Registration ID, and unique device identifiers assigned to your device (a number uniquely allocated to your device by your device manufacturer).",The app collects device IDs.,,,,
150,Identifier_Ad_ID_1stParty,PERFORMED,"[4] We also automatically record your Android Advertising ID (if available), for advertising and analytics purposes. The Android Advertising ID is an anonymous identifier, provided by Google Play services.",The app collects the Android Advertising ID.,,,,
150,Identifier_IP_Address_1stParty,PERFORMED,"[3] we automatically record and collect certain information from or about your device, such as your device’s type and model, mobile device ID, language preferences, time zone, the device’s operating system, mobile carrier and internet service provider information, network connection type, mobile browsers installed on the device, hardware information, running and installed apps on your device, your device’s approximate location, your device’s IP address, GCM Registration ID, and unique device identifiers assigned to your device (a number uniquely allocated to your device by your device manufacturer).",The app collects IP addresses.,,,,
150,Location_IP_Address_1stParty,PERFORMED,"[3] we automatically record and collect certain information from or about your device, such as your device’s type and model, mobile device ID, language preferences, time zone, the device’s operating system, mobile carrier and internet service provider information, network connection type, mobile browsers installed on the device, hardware information, running and installed apps on your device, your device’s approximate location, your device’s IP address, GCM Registration ID, and unique device identifiers assigned to your device (a number uniquely allocated to your device by your device manufacturer).",The app collects IP addresses as part of the location data.,,,,
150,Location_City_1stParty,PERFORMED,"[19] Your depersonalized search logs may be stored locally on your device, and may be stored by our search service providers as well. We and our partners use this information to offer you relevant content, such as customized search results or tailored advertising.",The app collects city-level location data.,,,,
150,Location_WiFi_1stParty,PERFORMED,"[3] we automatically record and collect certain information from or about your device, such as your device’s type and model, mobile device ID, language preferences, time zone, the device’s operating system, mobile carrier and internet service provider information, network connection type, mobile browsers installed on the device, hardware information, running and installed apps on your device, your device’s approximate location, your device’s IP address, GCM Registration ID, and unique device identifiers assigned to your device (a number uniquely allocated to your device by your device manufacturer).",The app collects WiFi data as part of the location data.,,,,
