policy_id,practice,modality,evidence,explanation,grounded_in_evidence,understandable,not_misleading,reviewer_notes
8,Identifier_MAC_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address""",The app collects the MAC address to track user activity.,,,,
8,Identifier_IMEI_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address, International Equipment Mobile ID (IMEI)""",The app collects the IMEI to track user activity.,,,,
8,Location_GPS_1stParty,PERFORMED,"""we also collect information about your play and interaction with other users and the Service""","The app collects location data, which is implied to include GPS.",,,,
8,Contact_E_Mail_Address_1stParty,PERFORMED,"""If you have any questions about this Privacy Policy, please contact us at contact@candy-mobile.com""",The app collects email addresses for customer support purposes.,,,,
11,Location_MCC_1stParty,PERFORMED,"""location information, the MCC (mobile country code)""",The app collects location information including mobile country code.,,,,
11,Identifier_Android_ID_1stParty,PERFORMED,"""device information, such as your hardware model, android ID, and operation system version""",The app collects device information including Android ID.,,,,
11,Identifier_Device_ID_1stParty,PERFORMED,"""device information, such as your hardware model, android ID, and operation system version""",The app collects device information including device ID.,,,,
11,Identifier_Operating_System_Version_1stParty,PERFORMED,"""device information, such as your hardware model, android ID, and operation system version""",The app collects device information including operating system version.,,,,
11,Log_Information_1stParty,PERFORMED,"""log information, the application events such as version, installed date and time, usages statistics, crashes event, and dump reports of our application""",The app collects log information including usage statistics.,,,,
11,Usage_Statistics_1stParty,PERFORMED,"""log information, the application events such as version, installed date and time, usages statistics, crashes event, and dump reports of our application""",The app collects usage statistics.,,,,
11,Crash_Reports_1stParty,PERFORMED,"""log information, the application events such as version, installed date and time, usages statistics, crashes event, and dump reports of our application""",The app collects crash reports.,,,,
11,Keyword_Search_1stParty,PERFORMED,"""the keywords you type in our application to search""",The app collects the keywords typed by users for searches.,,,,
225,Contact_E_Mail_Address_1stParty,PERFORMED,"If you want to email something you see through Flipboard to a friend who isn’t already a Flipboard account holder, we may keep their email address for the purpose of sending such email and improving our services.",The app collects email addresses when users share content with friends.,,,,
225,Identifier_Ad_ID_1stParty,PERFORMED,"We may also share non-personally identifiable, non-aggregate information (for example, anonymized Advertising IDs) with companies that help us improve our products and services, including advertising (such as research companies and analytics providers). As with your personally identifiable information, we require that such companies observe the limitations in this privacy policy.",The app collects and shares ad IDs for improving its services.,,,,
225,Identifier_IP_Address_1stParty,PERFORMED,"We receive some other information automatically when you use Flipboard. This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects IP addresses as part of its automatic data collection.,,,,
225,Location_GPS_1stParty,PERFORMED,"We receive some other information automatically when you use Flipboard. This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects GPS location as part of its automatic data collection.,,,,
225,Location_IP_Address_1stParty,PERFORMED,"We receive some other information automatically when you use Flipboard. This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects IP addresses as part of its automatic data collection.,,,,
225,Location_1stParty,PERFORMED,"We receive some other information automatically when you use Flipboard. This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects location as part of its automatic data collection.,,,,
225,Identifier_Device_ID_1stParty,PERFORMED,"We receive some other information automatically when you use Flipboard. This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects device IDs as part of its automatic data collection.,,,,
225,Identifier_MAC_1stParty,PERFORMED,"We receive some other information automatically when you use Flipboard. This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects MAC addresses as part of its automatic data collection.,,,,
225,Identifier_IMEI_1stParty,PERFORMED,"We receive some other information automatically when you use Flipboard. This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects IMEI numbers as part of its automatic data collection.,,,,
225,Identifier_SIM_Serial_1stParty,PERFORMED,"We receive some other information automatically when you use Flipboard. This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects SIM serial numbers as part of its automatic data collection.,,,,
225,Demographic_Age_1stParty,PERFORMED,"If you connect your Flipboard account with a third-party service, we collect information through that service. This information varies depending on the service and your privacy settings there, but may include profile information (e.g., age, gender and location), your contacts on that service and content that you’ve made publicly available there.",The app collects demographic information such as age from connected third-party services.,,,,
225,Demographic_Gender_1stParty,PERFORMED,"If you connect your Flipboard account with a third-party service, we collect information through that service. This information varies depending on the service and your privacy settings there, but may include profile information (e.g., age, gender and location), your contacts on that service and content that you’ve made publicly available there.",The app collects demographic information such as gender from connected third-party services.,,,,
225,Demographic_Location_1stParty,PERFORMED,"If you connect your Flipboard account with a third-party service, we collect information through that service. This information varies depending on the service and your privacy settings there, but may include profile information (e.g., age, gender and location), your contacts on that service and content that you’ve made publicly available there.",The app collects demographic information such as location from connected third-party services.,,,,
201,Contact_E_Mail_Address_1stParty,PERFORMED,"""please contact us at 2bunnylabs@gmail.com""",The app provides an email address for contacting them.,,,,
201,Identifier_Device_ID_1stParty,PERFORMED,"""unique device identifiers, installed application name and package name""",The app collects unique device identifiers to understand user behavior.,,,,
201,Location_IP_Address_3rdParty,NOT_PERFORMED,"""we may collect and use non-personal information in the following circumstances""",The app does not explicitly state that it collects location IP addresses from third parties.,,,,
201,Location_Cell_Tower_3rdParty,NOT_PERFORMED,"""we may collect and use non-personal information in the following circumstances""",The app does not explicitly state that it collects location cell tower data from third parties.,,,,
201,Location_WiFi_3rdParty,NOT_PERFORMED,"""we may collect and use non-personal information in the following circumstances""",The app does not explicitly state that it collects location WiFi data from third parties.,,,,
201,Location_Bluetooth_3rdParty,NOT_PERFORMED,"""we may collect and use non-personal information in the following circumstances""",The app does not explicitly state that it collects location Bluetooth data from third parties.,,,,
201,Identifier_Ad_ID_1stParty,PERFORMED,"""unique device identifiers, installed application name and package name""",The app collects unique device identifiers to understand user behavior.,,,,
97,Contact_E_Mail_Address_1stParty,PERFORMED,"If you have provided your e-mail address to WordsMobile, we will use it to respond to customer support inquiries, and keep you informed of your in-game activity.",The app uses the email address for communication purposes.,,,,
97,Identifier_MAC_1stParty,PERFORMED,"we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address, International Equipment Mobile ID (IMEI), whether you are using a point package, the game version, the device’s geo-location, language settings, and unique device ID.",The app collects MAC addresses as part of the information it gathers from users.,,,,
97,Identifier_IMEI_1stParty,PERFORMED,"we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address, International Equipment Mobile ID (IMEI), whether you are using a point package, the game version, the device’s geo-location, language settings, and unique device ID.",The app collects IMEI numbers as part of the information it gathers from users.,,,,
97,Location_GPS_1stParty,PERFORMED,"we collect information regarding your device type, operating system and version, carrier provider, IP address, Media Access Control (MAC) address, International Equipment Mobile ID (IMEI), whether you are using a point package, the game version, the device’s geo-location, language settings, and unique device ID.",The app collects GPS location data as part of the information it gathers from users.,,,,
97,Identifier_Device_ID_1stParty,PERFORMED,"In addition, we create a unique user ID to track your use of our Service. This unique user ID is stored in connection with your Account profile information to enable us to move Your Information to a new device at your request.",The app creates and uses a unique device identifier to track user activity.,,,,
294,Contact_E_Mail_Address_1stParty,PERFORMED,"Upon registration, you are required to provide a valid Account E-mail address.",The app collects the user's email address during registration.,,,,
294,Identifier_IP_Address_1stParty,PERFORMED,"We automatically retrieve and retain information about your device, computer and browser, including IP addresses, device type, operating system, cookies, browser type and information, pages visited, etc...",The app collects the user's IP address as part of the automatic data retrieval process.,,,,
294,Location_IP_Address_1stParty,PERFORMED,"We automatically retrieve and retain information about your device, computer and browser, including IP addresses, device type, operating system, cookies, browser type and information, pages visited, etc...",The app collects the user's IP address as part of the automatic data retrieval process.,,,,
294,Identifier_Device_ID_1stParty,PERFORMED,"We automatically retrieve and retain information about your device, computer and browser, including IP addresses, device type, operating system, cookies, browser type and information, pages visited, etc...",The app collects the user's device ID as part of the automatic data retrieval process.,,,,
294,Identifier_Cookie_or_similar_Tech_1stParty,PERFORMED,"We automatically retrieve and retain information about your device, computer and browser, including IP addresses, device type, operating system, cookies, browser type and information, pages visited, etc...",The app collects cookie data as part of the automatic data retrieval process.,,,,
294,Location_Bluetooth_1stParty,NOT_PERFORMED,,There is no mention of Bluetooth location in the provided excerpts.,,,,
141,Identifier_Ad_ID_1stParty,PERFORMED,This information may be associated with your advertising Id (Google Advertising Id) for the purpose of providing you our services and improving them.,The app collects and associates data with Google Advertising ID.,,,,
141,Location_GPS_1stParty,PERFORMED,We may collect your location based information for the purpose of providing you location-based services.,The app collects GPS-based location data for its services.,,,,
141,Identifier_IP_Address_1stParty,PERFORMED,This data is stored within Amazon Web Services.,The app stores IP address information on AWS servers.,,,,
2,Identifier_Device_ID_1stParty,PERFORMED,"""Ad networks who provide adverts to our mobile applications may access your unique device identifier""",The app collects and uses a unique device identifier for ad personalization.,,,,
2,Location_GPS_1stParty,PERFORMED,"""Some apps may request a location permission. In this case, your location is also anonymous""",The app collects and uses location data for ad personalization.,,,,
2,Identifier_Ad_ID_3rdParty,PERFORMED,"""Ad networks who provide adverts to our mobile applications may access your unique device identifier""",Third-party ad networks collect and use the app's unique device identifier for ad personalization.,,,,
2,Identifier_IP_Address_3rdParty,PERFORMED,"""Google Analytics also automatically collects data including app sessions numbers, session lengths""",Third-party analytics services collect and use IP addresses for tracking user sessions.,,,,
2,Location_IP_Address_3rdParty,PERFORMED,"""Google Analytics also automatically collects data including app sessions numbers, session lengths""",Third-party analytics services collect and use IP addresses for tracking user locations.,,,,
2,Location_1stParty,PERFORMED,"""Some apps may request a location permission. In this case, your location is also anonymous""",The app collects and uses location data for ad personalization.,,,,
2,Location_WiFi_3rdParty,PERFORMED,"""Google Analytics also automatically collects data including app sessions numbers, session lengths""",Third-party analytics services collect and use WiFi information for tracking user locations.,,,,
2,Location_Cell_Tower_3rdParty,PERFORMED,"""Google Analytics also automatically collects data including app sessions numbers, session lengths""",Third-party analytics services collect and use cell tower information for tracking user locations.,,,,
2,Identifier_Cookie_or_similar_Tech_3rdParty,PERFORMED,"""These analytics and ad networks may use data and cookies to help determine which ads to show you""",Third-party analytics services collect and use cookies for tracking user behavior.,,,,
2,Identifier_MAC_3rdParty,PERFORMED,"""Ad networks who provide adverts to our mobile applications may access your unique device identifier""",Third-party ad networks collect and use MAC addresses for tracking user behavior.,,,,
2,Identifier_IMEI_3rdParty,PERFORMED,"""Ad networks who provide adverts to our mobile applications may access your unique device identifier""",Third-party ad networks collect and use IMEI numbers for tracking user behavior.,,,,
